,MW,EACN,Vm,density,TAN,active,PCA_1,PCA_2,PCA_3
Oil_22,308.08192060000005,14.5,350.09309159090895,0.88,0.1,0,294.3521028352138,10.045300754825885,407.6712778962021
Oil_22 + 15% Oil_C,262.242417670056,13.255878324941799,307.187763537854,0.853687707641196,0.085,0,221.81148984247505,11.97519496754303,384.2340336332967
Oil_22 + 15% Oil_G,222.244472363437,11.2119783910028,265.579182366606,0.8368294170611991,0.085,0,152.4387386457061,12.911935172560293,346.02711571199177
Oil_22 + 15% Oil_J,288.584641576891,14.601896559099199,335.184203159008,0.8609732763569109,0.085,0,265.3021061108534,11.609388526602212,411.7432471498139
Oil_22 + 15% Oil_L,227.94808115667004,9.49028799281249,259.478517147385,0.8784853700516351,0.085,0,164.4276430323265,9.434988911349919,299.13858468467015
Oil_23,272.4456,9.174571258614867,312.437614678899,0.872,0.1,0,206.1880729562929,9.00832956365289,323.93072613606637
Oil_24,283.8706911323282,12.47761594130315,321.93949562155035,0.8618333120206225,0.34,0,245.51542681317844,11.0963763900987,369.6311313592247
Oil_25,432.0,11.11496636,503.790087463557,0.8575,2.0,1,501.24332613509114,12.155319857334533,309.4060248919688
Oil_25 + 12.5% Oil_A,284.84111563773104,8.104874042231277,336.413278739342,0.846699977792583,1.75,1,304.91071027837864,13.838150054682403,202.30234340696612
Oil_26,457.392433934564,14.685942962086846,505.646158091371,0.904570175438596,0.77,1,542.779917730046,8.988524510093542,376.2359833481895
Oil_26 + 10.3% Oil_G,316.827695659901,11.396890151561609,364.013202217406,0.8703741889852551,0.6906899999999999,1,349.386658049535,12.047417461975432,282.77753614053165
Oil_26 + 10.4% Oil_I,348.508027492705,12.564513402959257,396.763530822529,0.878377170326653,0.68992,1,396.78150626592105,11.483851790759585,310.1348438260184
Oil_26 + 11.5% Oil_B,361.44044149124704,12.07446468517391,400.01099281259695,0.9035762716165658,0.68145,1,416.80101875447303,9.467677024100034,293.2315435642793
Oil_26 + 12.3% Oil_B,356.241656350374,11.932971902001643,394.28756265110803,0.903507211729121,0.67529,1,409.9276693749615,9.493283822344784,288.789163623348
Oil_26 + 21% Oil_F,376.70742179675005,15.14501891226212,431.733164840313,0.872546870324602,0.6083,1,444.6000112564518,12.341129806725203,366.54104514366526
Oil_26 + 23% Oil_F,370.483227452566,15.180432898787293,426.031376833276,0.8696148865991891,0.5929,1,436.6444231740862,12.627745683409522,366.15209098470456
Oil_26 + 24% Oil_B,294.327278363669,10.247878669191786,326.124980663854,0.902498415682671,0.5852,1,327.4851143570443,9.793866945772745,236.5569337047362
Oil_26 + 3.43% Oil_L,402.645269326974,12.634576557531455,445.729984534065,0.9033389794224229,0.743589,1,466.40125088290984,9.102766416698273,321.2534452979144
Oil_26 + 3.84% Oil_L,396.965700387798,12.421764131578586,439.51417334586,0.903192034436215,0.740432,1,458.45351075249164,9.115485591666367,315.57444612132076
Oil_26 + 9.21% Oil_G,327.477918794934,11.64609309367185,374.74436141029406,0.8738701699540451,0.699083,1,364.6951242435123,11.757400019487084,289.26903276454095
Oil_26 + 9.67% Oil_I,354.430420484483,12.679901271287653,402.685827042307,0.880166116318879,0.695541,1,404.9949233499656,11.32498925737778,313.4824737576122
Oil_27,348.80045129024694,20.0,390.375435131782,0.8935,0.3,0,397.02169438553994,10.92666894983756,485.55962289267467
Oil_27 + 12.5% Oil_G,252.585834031495,14.8709072922358,295.574147548929,0.854559967866207,0.2625,0,230.87591150224472,12.907191723530577,393.06767486274555
Oil_27 + 15.9% Oil_C,283.395664390612,16.833011622286502,328.46989351477197,0.8627751583506009,0.2523,0,284.7251349519401,12.643932723524358,430.8543343471508
Oil_27 + 27.4% Oil_F,303.817199861086,18.5294839646363,354.973675853946,0.8558865643493292,0.2178,0,317.36836347868785,13.389871896166367,470.5270526142159
